season,index,category,term,clean_term
spring 2025,0,Clothing,buttermilk yellow dress,buttermilk yellow dress
spring 2025,0,Clothing,double denim,double denim
spring 2025,0,Shoes,peep toe shoe,peep toe shoe
spring 2025,0,Shoes,peep toe mesh ballet flats,peep toe mesh ballet flat
spring 2025,0,Accessories,silk scarves,silk scarve
spring 2025,0,Accessories,sequins,sequin
spring 2025,0,Accessories,embellishments,embellishment
spring 2025,0,Accessories,bag charms,bag charm
spring 2025,0,Colors,buttermilk yellow,buttermilk yellow
spring 2025,0,Materials,silk,silk
spring 2025,0,Materials,denim,denim
spring 2025,0,Materials,mesh,mesh
spring 2025,0,Trends,revival of the peep toe shoe,revival of the peep toe shoe
spring 2025,0,Trends,more over the top and less plain accessories,more over the top and less plain accessorie
spring 2025,1,Clothing,headscarves,headscarve
spring 2025,1,Clothing,leopard print dress,leopard print dress
spring 2025,1,Clothing,shoes,shoe
spring 2025,1,Clothing,wrap skirt,wrap skirt
spring 2025,1,Clothing,ballet course skirt,ballet course skirt
spring 2025,1,Clothing,maxi and midi skirts,maxi and midi skirt
spring 2025,1,Clothing,kitten heels,kitten heel
spring 2025,1,Shoes,spring shoes,spring shoe
spring 2025,1,Shoes,mesh shoes,mesh shoe
spring 2025,1,Shoes,kitten heels,kitten heel
spring 2025,1,Accessories,headscarves,headscarve
spring 2025,1,Colors,butter,butter
spring 2025,1,Colors,yellow,yellow
spring 2025,1,Colors,softer yellows,softer yellow
spring 2025,1,Materials,mesh,mesh
spring 2025,1,Materials,lace,lace
spring 2025,1,Materials,shear,shear
spring 2025,1,Materials,leopard print,leopard print
spring 2025,1,Materials,ruffles,ruffle
spring 2025,1,Materials,florals,floral
spring 2025,1,Materials,crochetes,crochete
spring 2025,1,Materials,woven,woven
spring 2025,1,Materials,straw,straw
spring 2025,1,Trends,headscarves and leopard print,headscarve and leopard print
spring 2025,1,Trends,Y2K,y2k
spring 2025,1,Trends,boho chic,boho chic
spring 2025,1,Trends,mesh and leopard print,mesh and leopard print
spring 2025,1,Trends,kitten heels,kitten heel
spring 2025,1,Patterns,polka dot trend,polka dot trend
spring 2025,2,Clothing,loafers,loafer
spring 2025,2,Clothing,double layer waistband pants,double layer waistband pant
spring 2025,2,Shoes,loafers,loafer
spring 2025,2,Shoes,sneakers,sneaker
spring 2025,2,Shoes,shoelace slash sneaker charms,shoelace slash sneaker charm
spring 2025,2,Accessories,socks,sock
spring 2025,2,Accessories,stockings,stocking
spring 2025,2,Accessories,shoelace slash sneaker charms,shoelace slash sneaker charm
spring 2025,2,Accessories,charms,charm
spring 2025,2,Accessories,Miumio by a new balance collab,miumio by a new balance collab
spring 2025,2,Colors,gray,gray
spring 2025,2,Trends,double layer waistband pants,double layer waistband pant
spring 2025,4,Clothing,oversized linen shirt,oversized linen shirt
spring 2025,4,Clothing,white linen pants,white linen pant
spring 2025,4,Colors,light pink,light pink
spring 2025,4,Materials,linen,linen
spring 2025,4,Trends,nautical coastal vibes,nautical coastal vibe
spring 2025,4,Trends,textured layers,textured layer
spring 2025,6,Clothing,Swade Jacket,swade jacket
spring 2025,6,Clothing,Swade Cotes,swade cote
spring 2025,6,Clothing,Swade Blazers,swade blazer
spring 2025,6,Clothing,Swade Skirts,swade skirt
spring 2025,6,Clothing,trainers,trainer
spring 2025,6,Clothing,loafers,loafer
spring 2025,6,Clothing,refined athleisure,refined athleisure
spring 2025,6,Clothing,bubble hen skirts,bubble hen skirt
spring 2025,6,Clothing,bubble hen dresses,bubble hen dresse
spring 2025,6,Shoes,trainers,trainer
spring 2025,6,Shoes,loafers,loafer
spring 2025,6,Colors,soft powdery pink,soft powdery pink
spring 2025,6,Trends,Swade,swade
spring 2025,6,Trends,refined athletes you wear,refined athlete you wear
spring 2025,6,Trends,bubble hens,bubble hen
spring 2025,6,Trends,maximalism,maximalism
spring 2025,7,Clothing,boho chic styles,boho chic style
spring 2025,7,Clothing,ruffles tops,ruffle top
spring 2025,7,Clothing,sheer tops,sheer top
spring 2025,7,Clothing,jeans,jean
spring 2025,7,Clothing,sheer skirts,sheer skirt
spring 2025,7,Clothing,western jackets,western jacket
spring 2025,7,Clothing,fringe jackets (outside of western realm),fringe jacket (outside of western realm)
spring 2025,7,Clothing,pastel green dress,pastel green dress
spring 2025,7,Clothing,pastel pink dress,pastel pink dress
spring 2025,7,Clothing,butter yellow dress,butter yellow dress
spring 2025,7,Accessories,studded belts,studded belt
spring 2025,7,Accessories,studded flats,studded flat
spring 2025,7,Accessories,studded bags,studded bag
spring 2025,7,Colors,pistachio green,pistachio green
spring 2025,7,Colors,powder pink,powder pink
spring 2025,7,Colors,butter yellow,butter yellow
spring 2025,7,Materials,sheer materials,sheer material
spring 2025,7,Materials,denim,denim
spring 2025,7,Materials,cow print,cow print
spring 2025,7,Trends,boho chic,boho chic
spring 2025,7,Trends,ruffles,ruffle
spring 2025,7,Trends,sheer,sheer
spring 2025,7,Trends,western influences,western influence
spring 2025,7,Trends,fringe,fringe
spring 2025,7,Trends,studs,stud
spring 2025,8,Clothing,flower dresses,flower dresse
spring 2025,8,Clothing,romantic blouses,romantic blouse
spring 2025,8,Clothing,maxi skirts,maxi skirt
spring 2025,8,Clothing,maxi tops,maxi top
spring 2025,8,Clothing,linen or cotton matching sets,linen or cotton matching set
spring 2025,8,Clothing,Noriko aesthetic dresses,noriko aesthetic dresse
spring 2025,8,Clothing,striped polos,striped polo
spring 2025,8,Clothing,striped shirts,striped shirt
spring 2025,8,Clothing,cowboy hats,cowboy hat
spring 2025,8,Clothing,worker jackets,worker jacket
