season,index,category,term
spring 2025,0,Clothing,buttermilk yellow dress
spring 2025,0,Clothing,double denim
spring 2025,0,Shoes,peep toe shoe
spring 2025,0,Shoes,peep toe mesh ballet flats
spring 2025,0,Accessories,silk scarves
spring 2025,0,Accessories,sequins
spring 2025,0,Accessories,embellishments
spring 2025,0,Accessories,bag charms
spring 2025,0,Colors,buttermilk yellow
spring 2025,0,Materials,silk
spring 2025,0,Materials,denim
spring 2025,0,Materials,mesh
spring 2025,0,Trends,revival of the peep toe shoe
spring 2025,0,Trends,more over the top and less plain accessories
spring 2025,1,Clothing,headscarves
spring 2025,1,Clothing,leopard print dress
spring 2025,1,Clothing,shoes
spring 2025,1,Clothing,wrap skirt
spring 2025,1,Clothing,ballet course skirt
spring 2025,1,Clothing,maxi and midi skirts
spring 2025,1,Clothing,kitten heels
spring 2025,1,Shoes,spring shoes
spring 2025,1,Shoes,mesh shoes
spring 2025,1,Shoes,kitten heels
spring 2025,1,Accessories,headscarves
spring 2025,1,Colors,butter
spring 2025,1,Colors,yellow
spring 2025,1,Colors,softer yellows
spring 2025,1,Materials,mesh
spring 2025,1,Materials,lace
spring 2025,1,Materials,shear
spring 2025,1,Materials,leopard print
spring 2025,1,Materials,ruffles
spring 2025,1,Materials,florals
spring 2025,1,Materials,crochetes
spring 2025,1,Materials,woven
spring 2025,1,Materials,straw
spring 2025,1,Trends,headscarves and leopard print
spring 2025,1,Trends,Y2K
spring 2025,1,Trends,boho chic
spring 2025,1,Trends,mesh and leopard print
spring 2025,1,Trends,kitten heels
spring 2025,1,Patterns,polka dot trend
spring 2025,2,Clothing,loafers
spring 2025,2,Clothing,double layer waistband pants
spring 2025,2,Shoes,loafers
spring 2025,2,Shoes,sneakers
spring 2025,2,Shoes,shoelace slash sneaker charms
spring 2025,2,Accessories,socks
spring 2025,2,Accessories,stockings
spring 2025,2,Accessories,shoelace slash sneaker charms
spring 2025,2,Accessories,charms
spring 2025,2,Accessories,Miumio by a new balance collab
spring 2025,2,Colors,gray
spring 2025,2,Trends,double layer waistband pants
spring 2025,4,Clothing,oversized linen shirt
spring 2025,4,Clothing,white linen pants
spring 2025,4,Colors,light pink
spring 2025,4,Materials,linen
spring 2025,4,Trends,nautical coastal vibes
spring 2025,4,Trends,textured layers
spring 2025,6,Clothing,Swade Jacket
spring 2025,6,Clothing,Swade Cotes
spring 2025,6,Clothing,Swade Blazers
spring 2025,6,Clothing,Swade Skirts
spring 2025,6,Clothing,trainers
spring 2025,6,Clothing,loafers
spring 2025,6,Clothing,refined athleisure
spring 2025,6,Clothing,bubble hen skirts
spring 2025,6,Clothing,bubble hen dresses
spring 2025,6,Shoes,trainers
spring 2025,6,Shoes,loafers
spring 2025,6,Colors,soft powdery pink
spring 2025,6,Trends,Swade
spring 2025,6,Trends,refined athletes you wear
spring 2025,6,Trends,bubble hens
spring 2025,6,Trends,maximalism
spring 2025,7,Clothing,boho chic styles
spring 2025,7,Clothing,ruffles tops
spring 2025,7,Clothing,sheer tops
spring 2025,7,Clothing,jeans
spring 2025,7,Clothing,sheer skirts
spring 2025,7,Clothing,western jackets
spring 2025,7,Clothing,fringe jackets (outside of western realm)
spring 2025,7,Clothing,pastel green dress
spring 2025,7,Clothing,pastel pink dress
spring 2025,7,Clothing,butter yellow dress
spring 2025,7,Accessories,studded belts
spring 2025,7,Accessories,studded flats
spring 2025,7,Accessories,studded bags
spring 2025,7,Colors,pistachio green
spring 2025,7,Colors,powder pink
spring 2025,7,Colors,butter yellow
spring 2025,7,Materials,sheer materials
spring 2025,7,Materials,denim
spring 2025,7,Materials,cow print
spring 2025,7,Trends,boho chic
spring 2025,7,Trends,ruffles
spring 2025,7,Trends,sheer
spring 2025,7,Trends,western influences
spring 2025,7,Trends,fringe
spring 2025,7,Trends,studs
spring 2025,8,Clothing,flower dresses
spring 2025,8,Clothing,romantic blouses
spring 2025,8,Clothing,maxi skirts
spring 2025,8,Clothing,maxi tops
spring 2025,8,Clothing,linen or cotton matching sets
spring 2025,8,Clothing,Noriko aesthetic dresses
spring 2025,8,Clothing,striped polos
spring 2025,8,Clothing,striped shirts
spring 2025,8,Clothing,cowboy hats
spring 2025,8,Clothing,worker jackets
spring 2025,8,Clothing,90s or 80s straight leg jeans
spring 2025,8,Shoes,western boots
spring 2025,8,Shoes,both shoes
spring 2025,8,Accessories,lace
spring 2025,8,Accessories,flowy fabrics
spring 2025,8,Accessories,hippie style
spring 2025,8,Accessories,scarves
spring 2025,8,Accessories,statement belt
spring 2025,8,Colors,white
spring 2025,8,Materials,linen
spring 2025,8,Materials,cotton
spring 2025,8,Materials,denim
spring 2025,8,Materials,lace
spring 2025,8,Materials,flowy fabrics
spring 2025,8,Trends,boho style
spring 2025,8,Trends,Noriko aesthetic
spring 2025,8,Trends,cowboy era
spring 2025,8,Patterns,polka dot
spring 2025,8,Patterns,stripes
spring 2025,8,Other,rough your hats
spring 2025,8,Other,rough your bags and caps
spring 2025,8,Other,cable nids or nids
spring 2025,8,Other,stud belts
spring 2025,8,Other,jewelry that resembles or has a western aesthetic vibe
spring 2025,8,Other,invest in a couple of belts
spring 2025,9,Clothing,track pant
spring 2025,9,Clothing,blazer
spring 2025,9,Clothing,workout clothes
spring 2025,9,Clothing,sequin mini skirt
spring 2025,9,Clothing,ruffled dress
spring 2025,9,Clothing,denim top
spring 2025,9,Clothing,denim mini skirt
spring 2025,9,Clothing,polka dot top
spring 2025,9,Clothing,capri pants
spring 2025,9,Clothing,kid in heel
spring 2025,9,Clothing,two piece denim set
spring 2025,9,Clothing,cardigan
spring 2025,9,Clothing,blue and white striped box or shorts
spring 2025,9,Clothing,burgundy red
spring 2025,9,Shoes,loafers
spring 2025,9,Shoes,ballet flats
spring 2025,9,Shoes,kidnails
spring 2025,9,Shoes,heels
spring 2025,9,Shoes,suede knee-high boots
spring 2025,9,Colors,sequin shell
spring 2025,9,Colors,butter yellow
spring 2025,9,Colors,burgundy red
spring 2025,9,Colors,pistachio
spring 2025,9,Trends,cascading boho ruffles
spring 2025,9,Trends,"workwear, workout clothes"
spring 2025,9,Patterns,polka dot
spring 2025,10,Clothing,crochet dress
spring 2025,10,Clothing,skirt
spring 2025,10,Clothing,maxi skirt
spring 2025,10,Clothing,mini skirt
spring 2025,10,Clothing,set
spring 2025,10,Clothing,asymmetrical top
spring 2025,10,Shoes,gazelles
spring 2025,10,Shoes,shoes with pops of yellow and burgundy
spring 2025,10,Shoes,ballet flats
spring 2025,10,Shoes,kitten heels
spring 2025,10,Shoes,cowboy boots
spring 2025,10,Shoes,fisherman sandals
spring 2025,10,Accessories,belt
spring 2025,10,Accessories,hardware
spring 2025,10,Accessories,little bow detailing
spring 2025,10,Colors,yellow
spring 2025,10,Colors,pink
spring 2025,10,Colors,blue
spring 2025,10,Colors,white
spring 2025,10,Colors,burgundy
spring 2025,10,Materials,crochet
spring 2025,10,Materials,satin
spring 2025,10,Materials,ballet course
spring 2025,10,Trends,crochet trend
spring 2025,10,Trends,ethereal trend
spring 2025,10,Trends,boho sheet trend
spring 2025,10,Trends,fisherman aesthetic
spring 2025,10,Trends,asymmetrical details trend
spring 2025,10,Trends,sheer trend
spring 2025,10,Trends,ruffles trend
spring 2025,11,Clothing,mini skirt
spring 2025,11,Clothing,shirts
spring 2025,11,Clothing,ties
spring 2025,11,Clothing,Mu Mu Boy look
spring 2025,11,Clothing,midi skirts
spring 2025,11,Shoes,high socks
spring 2025,11,Shoes,high boots
spring 2025,11,Colors,muted
spring 2025,11,Colors,retro inspired
spring 2025,11,Materials,fur
spring 2025,11,Trends,earthy
spring 2025,11,Trends,glitter
spring 2025,11,Trends,simplicity
spring 2025,12,Clothing,knitwear
spring 2025,12,Clothing,MaxiSkirt
spring 2025,12,Clothing,polka dot top
spring 2025,12,Clothing,yellow bag
spring 2025,12,Clothing,loafers
spring 2025,12,Clothing,low-rise MaxiSkirt
spring 2025,12,Clothing,set
spring 2025,12,Clothing,sneakers
spring 2025,12,Clothing,kitten heel
spring 2025,12,Clothing,bar jacket
spring 2025,12,Clothing,fisherman jacket
spring 2025,12,Clothing,cropped fisherman jacket
spring 2025,12,Clothing,jellies
spring 2025,12,Shoes,gazelles
spring 2025,12,Shoes,thambos
spring 2025,12,Shoes,loafers
spring 2025,12,Shoes,slip-ons
spring 2025,12,Shoes,kitten heels
spring 2025,12,Shoes,sneakers
spring 2025,12,Shoes,jellies
spring 2025,12,Accessories,snack list
spring 2025,12,Accessories,pearl Essent materials
spring 2025,12,Colors,yellow
spring 2025,12,Materials,knits
spring 2025,12,Materials,Sat MaxiSkirt
spring 2025,12,Materials,jellies
spring 2025,12,Materials,Pearl Essent materials
spring 2025,12,Trends,coursing floral details
spring 2025,12,Trends,polka dots
spring 2025,12,Trends,Sat MaxiSkirt trend
spring 2025,12,Trends,low-rise MaxiSkirt
spring 2025,12,Trends,structured materials
spring 2025,12,Trends,loafers
spring 2025,12,Trends,bar and jackets
spring 2025,12,Trends,jellies and Pearl Essent materials
spring 2025,12,Patterns,polka dots
spring 2025,13,Clothing,alcatal
spring 2025,13,Clothing,skirts
spring 2025,13,Clothing,functional outerwear
spring 2025,13,Accessories,polka-dot nails
spring 2025,13,Colors,pink
spring 2025,13,Trends,playful
spring 2025,13,Trends,plaid
spring 2025,13,Trends,boho
spring 2025,13,Trends,Coastal grandma preppy
spring 2025,13,Trends,20 to 10s revival
spring 2025,13,Trends,functional jackets
spring 2025,13,Patterns,polka dot
spring 2025,13,Other,Storm Pinterest
spring 2025,13,Other,Glossier
spring 2025,13,Other,runway pictures
spring 2025,13,Other,real life inspiration
spring 2025,14,Clothing,pajama style sets
spring 2025,14,Clothing,deconstructed gathered skirts
spring 2025,14,Shoes,high heel boots
spring 2025,14,Accessories,big wrap around sort of sunnies
spring 2025,14,Accessories,cool bag
spring 2025,14,Colors,more colors
spring 2025,14,Materials,not mentioned
spring 2025,14,Trends,big wrap around sort of sunnies
spring 2025,14,Trends,futuristic style
spring 2025,14,Trends,less classic big gold glasses
spring 2025,14,Trends,fading away from the more cat eye sunglasses
spring 2025,14,Trends,EC through lenses
spring 2025,14,Trends,sets with pajama style sets
spring 2025,14,Trends,deconstructed gathered skirts
spring 2025,14,Trends,big maximalist but minimalist tones sort of style
spring 2025,14,Trends,styles like this
spring 2025,14,Patterns,not mentioned
spring 2025,14,Other,high heel boots make a really big difference
spring 2025,16,Clothing,simple outfits
spring 2025,16,Clothing,skinny jeans
spring 2025,16,Clothing,skinny leather pant
spring 2025,16,Clothing,skinny boot cut jean
spring 2025,16,Clothing,sink waist blazers
spring 2025,16,Clothing,blazers
spring 2025,16,Shoes,pistachio shoes
spring 2025,16,Accessories,statement belt
spring 2025,16,Accessories,glasses
spring 2025,16,Accessories,belted jackets
spring 2025,16,Accessories,belted puffer coats
spring 2025,16,Colors,pistachio
spring 2025,16,Trends,wearing very simple outfits with a statement belt
spring 2025,16,Trends,belts as the moment
spring 2025,16,Trends,skinny jeans coming back
spring 2025,16,Trends,belted jackets
spring 2025,16,Trends,belted puffer coats
spring 2025,16,Trends,sink waist blazers
spring 2025,16,Trends,cinch waist blazers and cinch waist jackets in general
